year,age,draw,std_beg,ira_beg,roth_beg,SS_inc,life_exp,RMD,ira_pull,roth_conv,roth_pull,total_inc,ord_inc,pref_inc,ord_tax,pref_tax,ca_tax,total_tax,std_end,ira_end,roth_end,total_sav,amount_avail,std_stock_gain,std_pretax,LTCapGn,total_gains,total_expenses,net_gain_loss,marg_rate,tax_rate
2026,66,140,1500,1700,100,0,20.2,0,0,0,0,55,18,37,0,0,2,2,1450,1804,106,3359,2422,58,319,22,201,142,59,10%,4%
2027,67,144,1450,1804,106,0,19.4,0,0,0,0,57,17,40,0,0,2,2,1392,1914,113,3419,2421,56,333,25,205,146,59,10%,4%
2028,68,147,1392,1914,113,46,18.6,0,0,0,0,98,63,35,6,5,5,16,1360,2030,119,3510,2448,54,350,21,209,163,45,22%,17%
2029,69,151,1360,2030,119,47,17.8,0,0,0,0,101,63,37,6,6,6,17,1323,2154,127,3604,2475,52,364,23,214,168,46,22%,17%
2030,70,155,1323,2154,127,48,17.0,0,0,0,0,104,64,40,6,6,6,18,1279,2286,134,3699,2501,51,373,26,220,172,48,22%,17%
2031,71,158,1279,2286,134,50,16.3,0,0,0,0,107,65,42,6,6,6,19,1230,2425,143,3798,2528,49,379,29,226,177,49,22%,17%
2032,72,162,1230,2425,143,51,15.5,0,0,0,0,110,66,45,6,7,6,19,1174,2573,151,3898,2554,47,380,32,232,182,50,22%,18%
2033,73,166,1174,2573,151,52,14.8,0,0,0,0,113,66,47,6,7,7,20,1111,2730,161,4002,2579,45,377,35,238,187,51,22%,18%
2034,74,171,1111,2730,161,53,14.1,0,0,0,0,117,67,50,7,8,7,21,1041,2897,170,4108,2604,43,368,38,244,192,53,22%,18%
2035,75,175,1041,2897,170,55,13.4,118,118,0,0,207,185,22,34,3,15,53,1049,2956,181,4185,2646,40,385,11,251,227,23,24%,25%
2036,76,179,1049,2956,181,56,12.7,125,125,0,0,215,193,22,36,3,16,55,1059,3011,192,4262,2689,40,402,11,255,235,21,24%,26%
2037,77,184,1059,3011,192,57,12.1,131,131,0,0,224,202,22,38,3,17,58,1071,3063,204,4338,2733,41,420,11,260,242,18,24%,26%
2038,78,188,1071,3063,204,59,11.4,139,139,0,0,233,211,22,41,3,18,62,1084,3111,216,4411,2776,41,438,11,265,250,15,32%,26%
2039,79,193,1084,3111,216,60,10.8,147,147,0,0,243,221,22,44,3,19,66,1099,3153,229,4482,2820,42,456,11,269,259,10,32%,27%
2040,80,198,1099,3153,229,62,10.2,156,156,0,0,253,231,22,47,3,20,70,1117,3190,243,4549,2863,42,476,10,273,268,6,32%,28%
2041,81,203,1117,3190,243,63,9.7,164,164,0,0,263,241,22,50,3,21,74,1136,3220,258,4613,2905,43,496,10,278,277,1,32%,28%
2042,82,208,1136,3220,258,65,9.1,174,174,0,0,274,253,22,54,3,22,79,1158,3242,274,4673,2946,44,517,10,281,287,-5,32%,29%
2043,83,213,1158,3242,274,67,8.6,183,183,0,0,285,264,21,58,3,23,83,1182,3257,290,4728,2987,45,539,9,285,296,-11,35%,29%
2044,84,218,1182,3257,290,68,8.1,194,194,0,0,297,276,21,62,3,24,89,1209,3261,308,4778,3026,45,562,8,288,307,-19,35%,30%
2045,85,224,1209,3261,308,70,7.6,204,204,0,0,309,288,21,66,3,25,94,1238,3257,327,4822,3064,47,587,8,291,318,-26,35%,30%
2046,86,229,1238,3257,327,72,7.1,214,214,0,0,321,301,20,71,3,26,100,1271,3241,347,4858,3100,48,613,7,294,329,-35,35%,31%
2047,87,235,1271,3241,347,74,6.7,225,225,0,0,334,314,20,75,3,27,105,1306,3214,368,4888,3134,49,641,6,296,340,-44,35%,32%
2048,88,241,1306,3214,368,75,6.3,235,235,0,0,345,326,20,79,3,28,110,1345,3175,390,4910,3166,50,670,6,298,351,-53,35%,32%
2049,89,247,1345,3175,390,77,5.9,246,246,0,0,359,340,19,84,3,30,116,1387,3123,414,4923,3195,52,701,5,300,364,-64,35%,32%
2050,90,253,1387,3123,414,79,5.5,256,256,0,0,371,352,19,88,3,31,122,1431,3057,439,4928,3221,53,734,5,300,375,-75,35%,33%
2051,91,260,1431,3057,439,81,5.2,266,266,0,0,383,364,19,93,3,32,128,1478,2978,466,4922,3244,55,769,4,301,387,-87,35%,33%
2052,92,266,1478,2978,466,83,4.9,276,276,0,0,396,377,19,97,3,33,133,1528,2884,495,4906,3264,57,805,4,300,399,-99,35%,34%
2053,93,273,1528,2884,495,85,4.6,286,286,0,0,409,389,20,101,3,35,139,1580,2774,525,4879,3279,59,842,3,299,412,-112,35%,34%
2054,94,280,1580,2774,525,87,4.3,292,292,0,0,419,398,21,105,3,36,144,1633,2651,557,4841,3290,61,881,4,298,423,-126,35%,34%
2055,95,286,1633,2651,557,90,4.0,298,298,0,0,430,407,23,108,3,37,148,1685,2515,591,4791,3296,63,919,6,295,435,-139,35%,34%
2056,96,294,1685,2515,591,92,3.7,299,299,0,0,438,411,26,109,4,38,151,1735,2369,627,4731,3296,65,956,8,292,445,-152,35%,35%
2057,97,301,1735,2369,627,94,3.4,304,304,0,0,447,419,29,112,4,39,155,1782,2210,665,4657,3291,67,992,11,289,456,-167,35%,35%
2058,98,309,1782,2210,665,96,3.2,303,303,0,0,454,421,33,112,5,40,157,1824,2042,706,4572,3279,69,1026,15,284,466,-182,35%,35%
2059,99,316,1824,2042,706,99,3.0,300,300,0,0,460,421,39,113,6,40,159,1860,1866,749,4475,3261,70,1055,20,279,475,-196,35%,35%
2060,100,324,1860,1866,749,101,2.8,292,292,0,0,462,415,46,111,7,41,158,1884,1688,794,4367,3235,72,1078,27,273,482,-209,35%,34%
